Student number,What is your approximate overall GPA? Choose the appropriate range. ,What unit load are you planning to carry this Quarter?,Which statement best describes your preferred role in a project team? ,Which statement below best describes your usual behavior in a group project? ,"On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Graphical Design (CAD, solid modeling)]","On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Analysis (physical, mathematical, computational)]",On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Public Presentation/Communication],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Documentation (writing and organization)],"On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Mechanical Skills (fabrication, machining)]",On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your abilities in the following categories: [Electronics/microprocessors/programming],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Welding],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Metal machining],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Woodworking],"On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Powered Hand Tools (powered drills, saws, grinders, etc)]",On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [3d-Printing],On a scale from 1-5 (with 1 representing a novice/beginner and 5 representing an expert) please rank your manufacturing/assembly abilities:  [Laser cutting],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1EPzcjlMKEWcoF7-uNIRbzxyhS_EX_DEBWe-aJIviwq0/edit?usp=sharing [1],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1EPzcjlMKEWcoF7-uNIRbzxyhS_EX_DEBWe-aJIviwq0/edit?usp=sharing [2],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1EPzcjlMKEWcoF7-uNIRbzxyhS_EX_DEBWe-aJIviwq0/edit?usp=sharing [3],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1EPzcjlMKEWcoF7-uNIRbzxyhS_EX_DEBWe-aJIviwq0/edit?usp=sharing [4],Which project teams are you interested to work with? Rank your choices 1-5 (where 1 is your top choice). The project numbers are here: https://docs.google.com/document/d/1EPzcjlMKEWcoF7-uNIRbzxyhS_EX_DEBWe-aJIviwq0/edit?usp=sharing [5]
14,2.7-2.99,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,5,4,4,5,3,4,3,3,4,4,4,4,11,4,8,10,7
15,3.7-4,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,4,4,2,4,1,1,2,1,3,3,13,1,3,5,14
16,3.7-4,more than 16,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,4,5,5,4,4,4,4,3,4,4,5,3,13,15,13,15,1
17,3-3.29,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,3,4,4,4,2,2,1,1,3,3,1,1,13,3,6,14,15
18,3.7-4,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Focused Worker - I like to focus on completing my own tasks.,4,4,5,5,4,4,1,4,4,5,5,2,13,5,4,10,2
19,3.3-3.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,4,1,2,3,3,3,1,1,2,4,5,1,14,1,2,13,3
20,3.7-4,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,3,1,2,3,3,3,1,1,3,3,3,2,14,14,14,14,14
21,3.3-3.69,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,4,5,4,4,4,4,3,4,3,3,1,1,14,15,13,12,11
22,3-3.29,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,5,4,2,5,4,3,3,3,4,4,2,3,14,4,11,9,10
23,3-3.29,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,4,5,5,5,3,4,1,1,2,4,2,1,14,9,10,12,15
24,3.3-3.69,16-Dec,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,5,5,4,4,2,3,2,1,1,3,4,2,15,13,2,1,4
25,3-3.29,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,5,4,3,1,4,5,1,1,4,4,5,1,15,2,14,6,8
26,3.3-3.69,more than 16,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,Coordinator - I prefer to assign tasks to myself and others.,5,4,4,5,4,5,2,3,3,4,5,5,15,4,7,13,8
27,3.7-4,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,4,4,3,4,3,3,1,2,3,3,4,1,2,1,6,5,7
28,3.3-3.69,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,Helper - I like to mostly help other group members get their tasks completed.,5,4,5,4,5,5,1,2,3,5,5,5,2,13,5,1,15
29,3.7-4,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,5,3,5,3,4,3,5,2,4,2,1,1,2,13,8,4,6
30,2.3-2.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,3,4,4,3,4,3,3,4,3,3,2,15,5,1,14
31,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,4,3,2,4,2,1,1,1,3,4,1,1,2,3,12,1,15
32,3-3.29,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Helper - I like to mostly help other group members get their tasks completed.,4,3,1,3,5,2,2,3,5,5,2,2,2,4,13,3,5
33,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,3,1,4,5,3,3,2,5,5,1,1,2,4,14,1,3
34,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,3,4,4,1,2,1,1,1,1,1,1,3,1,13,2,15
35,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,4,4,1,1,1,1,1,2,2,1,3,14,8,11,2
36,3.3-3.69,more than 16,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,4,5,5,5,3,3,1,1,2,2,1,1,3,15,12,5,14
37,3-3.29,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,5,5,4,4,5,4,3,5,5,5,3,1,3,2,12,9,10
38,3.3-3.69,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Coordinator - I prefer to assign tasks to myself and others.,4,5,4,2,2,1,1,1,1,1,1,1,3,2,1,14,11
39,3.3-3.69,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Helper - I like to mostly help other group members get their tasks completed.,4,3,3,4,2,3,1,1,3,4,3,2,3,7,1,14,5
40,3-3.29,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,3,5,4,4,4,2,3,3,4,4,2,1,4,11,9,8,14
41,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,3,5,3,2,2,1,2,3,2,1,4,15,1,2,3
42,3.3-3.69,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,3,3,4,2,3,1,1,3,3,3,1,4,8,2,3,13
43,3.7-4,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,5,5,3,3,2,3,2,3,2,2,2,2,5,15,4,8,1
44,3.3-3.69,16-Dec,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,5,4,4,4,5,5,4,5,5,5,5,5,5,7,15,11,1
45,3.3-3.69,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,3,3,1,1,1,1,1,1,1,1,5,9,8,2,7
46,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,2,3,4,2,3,1,1,1,3,3,1,1,6,1,4,12,15
47,2.7-2.99,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,5,3,3,4,5,3,4,4,5,4,2,2,6,7,8,1,9
48,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,3,3,3,4,3,4,1,3,3,3,1,1,6,7,3,8,1
49,3.3-3.69,more than 16,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Helper - I like to mostly help other group members get their tasks completed.,3,5,3,3,5,4,4,3,4,4,3,2,6,7,9,15,4
50,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,3,1,1,4,3,4,1,4,4,3,1,6,7,1,8,4
51,3-3.29,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,5,3,3,3,4,3,1,1,2,3,5,1,7,7,7,7,7
52,2.3-2.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,5,4,4,5,3,3,2,3,5,5,2,2,7,8,6,2,1
53,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,3,3,4,2,2,1,1,1,1,1,1,7,8,6,4,2
54,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,4,3,3,4,2,4,1,1,2,4,3,1,7,8,6,13,15
55,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,3,3,4,1,2,1,1,1,2,1,1,7,8,3,1,2
56,2.0-2.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,4,3,4,4,3,1,1,2,2,4,1,1,8,10,9,14,4
57,3-3.29,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,4,2,1,3,3,2,1,1,2,3,3,2,8,11,2,3,9
58,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Helper - I like to mostly help other group members get their tasks completed.,2,2,2,2,2,1,1,1,1,2,1,1,8,11,7,10,3
59,2.3-2.69,more than 16,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,General Worker - I prefer to do what others in the group think is best for me to do.,3,3,3,4,1,1,1,1,1,1,1,1,8,2,4,11,10
60,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,1,5,4,4,1,2,1,1,3,3,1,1,8,6,7,14,15
61,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,2,3,3,4,2,4,3,3,4,2,2,8,6,7,1,2
62,2.7-2.99,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,General Worker - I prefer to do what others in the group think is best for me to do.,3,3,4,3,4,2,1,1,2,4,1,1,8,7,6,13,3
63,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Helper - I like to mostly help other group members get their tasks completed.,3,4,3,3,2,3,1,1,4,4,4,2,8,8,8,8,8
64,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,4,3,3,2,4,3,3,5,1,1,8,8,8,8,8
65,3.3-3.69,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,2,3,4,2,1,1,1,2,2,2,1,9,10,2,3,11
66,2.3-2.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,2,3,3,3,2,1,3,1,3,1,1,9,10,11,2,4
67,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Coordinator - I prefer to assign tasks to myself and others.,4,5,3,3,4,2,1,2,4,5,2,1,9,11,3,14,2
68,3.3-3.69,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,3,5,5,5,2,2,2,2,3,3,2,2,9,11,8,4,2
69,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,3,3,1,1,1,1,1,3,1,1,9,11,10,4,13
70,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,5,4,1,3,1,1,1,3,3,1,9,4,14,7,8
