Student number,GPA,Units,Role,Behavior,Graphical Design,Analysis,Present/Communic,Documentation,Mechanical Skills,Electronics,Welding,Metal Machining,Woodworking,Power Tools,3D printing,Laser Cutting,Preference 1,Preference 2,Preference 3,Preference 1,Preference 4
28,3.3-3.69,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,Helper - I like to mostly help other group members get their tasks completed.,5,4,5,4,5,5,1,2,3,5,5,5,Project 2,Project 13,Project 5,Project 1,Project 15
29,3.7-4,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,5,3,5,3,4,3,5,2,4,2,1,1,Project 2,Project 13,Project 8,Project 4,Project 6
30,2.3-2.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,3,4,4,3,4,3,3,4,3,3,Project 2,Project 15,Project 5,Project 1,Project 14
31,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,4,3,2,4,2,1,1,1,3,4,1,1,Project 2,Project 3,Project 12,Project 1,Project 15
32,3-3.29,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Helper - I like to mostly help other group members get their tasks completed.,4,3,1,3,5,2,2,3,5,5,2,2,Project 2,Project 4,Project 13,Project 3,Project 5
33,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,3,1,4,5,3,3,2,5,5,1,1,Project 2,Project 4,Project 14,Project 1,Project 3
34,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,3,4,4,1,2,1,1,1,1,1,1,Project 3,Project 1,Project 13,Project 2,Project 15
35,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,4,4,1,1,1,1,1,2,2,1,Project 3,Project 14,Project 8,Project 11,Project 2
36,3.3-3.69,more than 16,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,4,5,5,5,3,3,1,1,2,2,1,1,Project 3,Project 15,Project 12,Project 5,Project 14
37,3-3.29,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,5,5,4,4,5,4,3,5,5,5,3,1,Project 3,Project 2,Project 12,Project 9,Project 10
38,3.3-3.69,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Coordinator - I prefer to assign tasks to myself and others.,4,5,4,2,2,1,1,1,1,1,1,1,Project 3,Project 2,Project 1,Project 14,Project 11
39,3.3-3.69,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Helper - I like to mostly help other group members get their tasks completed.,4,3,3,4,2,3,1,1,3,4,3,2,Project 3,Project 7,Project 1,Project 14,Project 5
40,3-3.29,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,3,5,4,4,4,2,3,3,4,4,2,1,Project 4,Project 11,Project 9,Project 8,Project 14
41,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,3,5,3,2,2,1,2,3,2,1,Project 4,Project 15,Project 1,Project 2,Project 3
42,3.3-3.69,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,3,3,4,2,3,1,1,3,3,3,1,Project 4,Project 8,Project 2,Project 3,Project 13
43,3.7-4,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,5,5,3,3,2,3,2,3,2,2,2,2,Project 5,Project 15,Project 4,Project 8,Project 1
44,3.3-3.69,16-Dec,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Focused Worker - I like to focus on completing my own tasks.,5,4,4,4,5,5,4,5,5,5,5,5,Project 5,Project 7,Project 15,Project 11,Project 1
45,3.3-3.69,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,3,3,1,1,1,1,1,1,1,1,Project 5,Project 9,Project 8,Project 2,Project 7
46,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,2,3,4,2,3,1,1,1,3,3,1,1,Project 6,Project 1,Project 4,Project 12,Project 15
47,2.7-2.99,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Focused Worker - I like to focus on completing my own tasks.,5,3,3,4,5,3,4,4,5,4,2,2,Project 6,Project 7,Project 8,Project 1,Project 9
48,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,3,3,3,4,3,4,1,3,3,3,1,1,Project 6,Project 7,Project 3,Project 8,Project 1
49,3.3-3.69,more than 16,Specialist -- I most enjoy providing expertise in a critical technical aspect of a project.,Helper - I like to mostly help other group members get their tasks completed.,3,5,3,3,5,4,4,3,4,4,3,2,Project 6,Project 7,Project 9,Project 15,Project 4
50,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,3,1,1,4,3,4,1,4,4,3,1,Project 6,Project 7,Project 1,Project 8,Project 4
51,3-3.29,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,5,3,3,3,4,3,1,1,2,3,5,1,Project 7,Project 7,Project 7,Project 7,Project 7
52,2.3-2.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,5,4,4,5,3,3,2,3,5,5,2,2,Project 7,Project 8,Project 6,Project 2,Project 1
53,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,3,3,4,2,2,1,1,1,1,1,1,Project 7,Project 8,Project 6,Project 4,Project 2
54,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,4,3,3,4,2,4,1,1,2,4,3,1,Project 7,Project 8,Project 6,Project 13,Project 15
55,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,3,3,4,1,2,1,1,1,2,1,1,Project 7,Project 8,Project 3,Project 1,Project 2
56,2.0-2.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Focused Worker - I like to focus on completing my own tasks.,4,3,4,4,3,1,1,2,2,4,1,1,Project 8,Project 10,Project 9,Project 14,Project 4
57,3-3.29,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Quiet Supporter - I like to work behind the scenes; others often do not know how much I am doing.,4,2,1,3,3,2,1,1,2,3,3,2,Project 8,Project 11,Project 2,Project 3,Project 9
58,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Helper - I like to mostly help other group members get their tasks completed.,2,2,2,2,2,1,1,1,1,2,1,1,Project 8,Project 11,Project 7,Project 10,Project 3
59,2.3-2.69,more than 16,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,General Worker - I prefer to do what others in the group think is best for me to do.,3,3,3,4,1,1,1,1,1,1,1,1,Project 8,Project 2,Project 4,Project 11,Project 10
60,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,1,5,4,4,1,2,1,1,3,3,1,1,Project 8,Project 6,Project 7,Project 14,Project 15
61,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,2,3,3,4,2,4,3,3,4,2,2,Project 8,Project 6,Project 7,Project 1,Project 2
62,2.7-2.99,16-Dec,Interfacer/Scheduler -- I most enjoy keeping the project on-track by filling in the gaps between specified tasks.,General Worker - I prefer to do what others in the group think is best for me to do.,3,3,4,3,4,2,1,1,2,4,1,1,Project 8,Project 7,Project 6,Project 13,Project 3
63,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Helper - I like to mostly help other group members get their tasks completed.,3,4,3,3,2,3,1,1,4,4,4,2,Project 8,Project 8,Project 8,Project 8,Project 8
64,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,4,3,3,2,4,3,3,5,1,1,Project 8,Project 8,Project 8,Project 8,Project 8
65,3.3-3.69,more than 16,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,2,3,4,2,1,1,1,2,2,2,1,Project 9,Project 10,Project 2,Project 3,Project 11
66,2.3-2.69,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,3,2,3,3,3,2,1,3,1,3,1,1,Project 9,Project 10,Project 11,Project 2,Project 4
67,2.7-2.99,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,Coordinator - I prefer to assign tasks to myself and others.,4,5,3,3,4,2,1,2,4,5,2,1,Project 9,Project 11,Project 3,Project 14,Project 2
68,3.3-3.69,16-Dec,Team Leader -- I most enjoy having responsibility for the overall project outcome.,Coordinator - I prefer to assign tasks to myself and others.,3,5,5,5,2,2,2,2,3,3,2,2,Project 9,Project 11,Project 8,Project 4,Project 2
69,3.3-3.69,16-Dec,No Preference -- I enjoy all roles in group projects without any substantial preference.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,3,3,1,1,1,1,1,3,1,1,Project 9,Project 11,Project 10,Project 4,Project 13
70,3-3.29,16-Dec,Engineer -- I most enjoy accomplishing clearly defined engineering tasks within the project.,General Worker - I prefer to do what others in the group think is best for me to do.,4,4,5,4,1,3,1,1,1,3,3,1,Project 9,Project 4,Project 14,Project 7,Project 8
